x,y
-3.644,-8.595
1.43,3.854
0.875,3.145
-4.223,-8.683
-1.087,-2.221
-3.9,-10.828
-4.706,-10.151
-2.288,-6.221
-4.577,-8.821
-0.643,-1.147
2.462,6.569
-4.317,-7.958
0.159,-1.419
-3.774,-5.885
4.58,12.935
2.698,7.505
-2.847,-4.508
-3.558,-9.057
4.498,10.757
2.622,8.513
1.272,2.849
3.767,10.362
-3.401,-8.24
1.435,6.467
2.757,7.263
1.583,4.804
1.092,3.288
3.331,10.635
3.335,8.161
0.568,1.089
0.018,-1.129
4.602,11.311
-3.415,-8.315
4.919,10.772
1.41,5.508
3.583,11.653
0.981,2.656
-1.09,-2.024
0.192,-0.973
2.145,4.888
0.431,1.434
-2.298,-3.104
-2.863,-5.311
3.546,9.586
-1.917,-4.156
-1.95,-1.818
4.735,11.784
2.9,9.032
2.184,5.326
0.789,3.704
0.111,0.875
2.157,8.937
-0.871,0.323
3.17,8.32
-1.329,-2.117
1.73,6.195
-2.298,-3.061
-0.926,-2.239
0.329,0.308
0.703,2.103
0.745,3.15
1.216,7.8
3.383,9.878
0.344,2.517
1.048,2.995
-3.909,-9.245
-4.482,-9.859
-0.958,-0.803
-0.678,-1.914
-4.383,-8.459
1.335,2.498
-3.394,-8.443
4.785,13.094
-0.927,-3.072
-2.015,-3.169
1.504,5.733
-2.158,-4.943
-1.487,-3.126
1.986,3.305
1.046,2.922
2.582,7.379
-1.524,-2.14
-0.284,-0.682
-2.975,-6.42
-2.562,-3.484
-3.139,-7.909
-4.496,-11.639
1.462,3.972
-2.201,-4.863
-3.455,-6.646
-1.443,-2.956
4.498,11.672
-1.628,-4.403
0.543,4.413
-3.298,-7.026
3.371,8.98
4.497,11.47
-4.164,-8.157
-2.812,-4.138
1.46,2.742
0.539,2.556
1.833,4.236
0.259,-0.392
-4.034,-8.134
4.542,12.258
-0.213,0.67
-3.713,-8.649
2.048,4.566
-1.46,-1.806
-4.866,-12.469
-2.382,-4.92
-3.304,-6.576
-0.52,-0.418
1.665,6.454
0.882,2.073
-2.279,-3.296
1.043,2.774
-1.092,-1.708
-1.323,-2.472
3.18,8.914
