x1,x2,label
1.859,1.147,1
1.343,0.157,1
1.665,1.963,1
-0.283,0.897,1
-2.873,-1.525,0
-2.884,0.62,0
2.108,1.723,1
-3.708,-1.251,0
-1.18,-1.295,0
-2.073,-1.286,0
1.381,1.188,1
1.865,2.18,1
-1.62,-1.574,0
2.268,2.394,1
-2.441,-2.457,0
-1.291,-0.871,0
-2.219,-1.374,0
2.013,2.009,1
3.233,2.84,1
3.552,1.767,1
1.669,0.9,1
-2.909,-2.253,0
-2.565,-0.762,0
3.657,0.736,1
2.255,1.096,1
1.309,2.128,1
0.564,1.577,1
2.343,2.451,1
-1.619,-1.425,0
-2.619,-1.494,0
-2.451,-0.419,0
1.571,1.652,1
3.065,1.883,1
1.793,0.619,1
2.308,3.046,1
1.255,1.757,1
2.885,1.562,1
2.436,1.722,1
-2.9,-1.099,0
1.703,1.882,1
2.794,1.528,1
-3.132,-2.66,0
-1.655,0.192,0
0.166,3.338,1
2.824,1.25,1
1.959,2.258,1
0.845,2.817,1
-2.778,-2.068,0
1.851,1.866,1
2.537,3.375,1
1.532,2.187,1
1.269,2.717,1
2.472,1.114,1
2.71,1.979,1
2.858,1.084,1
-3.412,-0.763,0
-3.728,-2.284,0
2.26,2.124,1
-1.919,-2.927,0
-3.158,-0.152,0
-2.636,-1.608,0
-2.475,0.355,0
-0.846,-1.039,0
2.763,2.109,1
-1.831,-3.722,0
-1.439,0.162,0
-2.952,-0.24,0
0.85,0.287,1
-1.985,-1.658,0
2.584,1.062,1
2.617,1.635,1
2.041,2.102,1
-2.492,-1.643,0
-1.947,-1.267,0
2.061,2.955,1
-2.16,-1.136,0
-1.577,-0.196,0
-2.133,-2.097,0
-2.814,-1.28,0
2.241,2.041,1
-4.313,-2.466,0
-1.109,-1.788,0
-1.095,-0.941,0
-1.377,-0.434,0
2.163,1.674,1
-1.934,-1.302,0
-2.892,-1.911,0
-3.05,-1.498,0
2.419,1.66,1
-1.738,-1.998,0
1.797,2.415,1
-1.986,0.578,0
-1.92,-2.287,0
2.591,1.714,1
2.497,2.989,1
-2.071,-0.49,0
1.06,0.512,1
-2.91,-0.481,0
2.741,1.71,1
2.634,3.375,1
-2.993,-2.613,0
-2.477,-2.011,0
0.847,1.676,1
0.974,1.032,1
0.983,1.998,1
-3.555,-1.326,0
1.152,1.443,1
-3.116,-2.094,0
2.754,1.791,1
1.703,2.073,1
-4.444,-2.484,0
1.987,2.407,1
-2.604,-1.351,0
-1.471,-2.182,0
-2.394,-2.499,0
-1.27,-1.162,0
-0.751,-1.273,0
1.93,2.087,1
-1.486,-1.056,0
-0.029,0.665,1
2.618,1.075,1
3.15,1.499,1
-3.256,-3.099,0
-2.303,-1.05,0
-0.288,-2.73,0
-1.289,-1.383,0
-2.396,-1.683,0
-0.516,-2.435,0
-3.155,-1.322,0
-0.27,-1.532,0
3.047,2.491,1
0.063,1.377,1
3.164,2.106,1
2.088,-1.307,1
-1.973,-0.216,0
-1.752,-1.33,0
-0.489,-1.164,0
2.144,1.746,1
-2.499,-0.995,0
1.943,2.383,1
0.702,3.481,1
-3.098,-2.205,0
1.866,2.296,1
-3.227,-1.346,0
0.456,1.954,1
2.817,3.45,1
-2.578,-2.373,0
-1.329,-2.02,0
-2.372,-0.508,0
-2.571,-0.857,0
3.792,1.279,1
-2.594,-0.856,0
-1.39,-0.737,0
2.568,1.25,1
2.454,2.09,1
2.725,2.307,1
3.071,1.964,1
-2.245,-2.906,0
2.668,2.267,1
1.414,2.3,1
