x,y
-2.228,-2.939
-0.031,-0.429
-0.076,-0.277
-2.352,-4.868
0.706,0.25
0.026,1.957
-0.922,-0.092
-2.4,-5.583
1.314,1.884
1.913,1.959
-2.044,-2.111
2.829,8.924
-0.802,-0.239
0.793,-0.34
-1.54,-1.451
0.26,0.467
-2.097,-1.548
2.658,6.518
0.371,0.67
1.658,0.149
-0.618,-0.946
2.154,3.434
0.748,0.438
1.005,0.276
1.018,-1.834
0.662,-0.095
2.984,11.86
2.786,8.911
1.21,0.522
-1.681,-2.25
0.949,0.48
0.721,-1.008
-2.833,-11.205
1.064,0.089
-0.869,-0.474
0.403,-1.239
0.89,1.762
2.204,2.427
-0.248,1.922
0.437,1.098
-1.29,-1.457
-0.506,-0.154
2.748,7.993
0.283,0.586
1.191,1.286
0.411,-0.461
-2.484,-4.166
2.563,5.884
1.071,1.393
-0.879,-1.169
2.269,3.411
2.819,9.709
1.422,-1.968
-2.006,-2.528
-1.636,-0.725
-0.762,-0.605
1.312,2.692
-1.921,-0.71
1.339,-0.525
-0.941,0.067
-0.383,-0.712
-0.4,-0.419
-2.778,-8.364
2.867,10.088
-0.297,1.012
0.378,0.553
0.525,0.814
1.824,1.195
2.528,5.746
2.743,7.55
-0.552,-1.226
2.25,3.187
-1.138,0.503
2.879,10.224
-1.871,-1.177
2.866,10.154
-0.579,0.396
-1.845,0.876
1.333,0.213
-2.233,-3.337
0.914,0.1
-0.981,0.454
1.486,0.151
-0.16,-1.161
0.527,0.579
-2.156,-3.399
0.364,1.771
-1.596,0.399
-1.598,-0.331
1.167,-0.369
2.139,1.15
0.043,-1.711
-2.22,-2.244
0.084,-0.241
0.038,-1.238
0.466,-0.129
-0.136,-0.603
-1.399,-0.255
0.429,-2.206
-2.223,-2.27
2.102,3.486
1.627,0.156
-1.308,0.897
-0.161,-0.109
-1.813,0.44
-1.243,-0.637
-2.819,-8.908
2.953,12.686
1.191,-1.112
0.426,0.154
-1.772,-1.755
2.462,4.766
-1.078,1.036
0.237,0.19
-1.961,-0.855
-0.385,-0.04
1.839,1.561
2.943,12.227
1.537,0.77
-2.701,-7.313
-1.406,-1.947
1.916,2.471
-0.904,-0.495
2.248,3.544
0.427,0.052
-2.624,-5.89
0.205,2.013
1.012,2.147
2.255,2.744
2.994,11.83
-2.052,-2.358
2.504,4.047
2.869,8.806
-2.444,-5.128
2.156,1.013
-2.631,-7.914
0.54,1.015
-0.755,0.905
2.477,4.688
-2.798,-9.479
