group,value
Alpha,12.5
Alpha,15.3
Alpha,11.8
Alpha,14.2
Alpha,13.1
Alpha,16.7
Alpha,12.9
Alpha,15.8
Alpha,13.5
Alpha,14.8
Alpha,11.2
Alpha,16.3
Alpha,13.9
Alpha,15.1
Alpha,12.7
Alpha,14.5
Alpha,13.3
Alpha,15.6
Alpha,12.1
Alpha,14.9
Beta,22.5
Beta,25.3
Beta,21.8
Beta,24.2
Beta,23.1
Beta,26.7
Beta,22.9
Beta,25.8
Beta,23.5
Beta,24.8
Beta,21.2
Beta,26.3
Beta,23.9
Beta,25.1
Beta,22.7
Beta,24.5
Beta,23.3
Beta,25.6
Beta,22.1
Beta,24.9
Gamma,8.5
Gamma,11.3
Gamma,7.8
Gamma,10.2
Gamma,9.1
Gamma,12.7
Gamma,8.9
Gamma,11.8
Gamma,9.5
Gamma,10.8
Gamma,7.2
Gamma,12.3
Gamma,9.9
Gamma,11.1
Gamma,8.7
Gamma,10.5
Gamma,9.3
Gamma,11.6
Gamma,8.1
Gamma,10.9
Delta,18.5
Delta,21.3
Delta,17.8
Delta,20.2
Delta,19.1
Delta,22.7
Delta,18.9
Delta,21.8
Delta,19.5
Delta,20.8
Delta,17.2
Delta,22.3
Delta,19.9
Delta,21.1
Delta,18.7
Delta,20.5
Delta,19.3
Delta,21.6
Delta,18.1
Delta,20.9
Delta,32.4
Delta,7.1
