# x, y, size, temperature
0.1, 0.2, 5.0, 20.5
0.3, 0.5, 12.0, 35.2
0.5, 0.8, 18.0, 48.7
0.7, 0.3, 8.0, 25.1
0.9, 0.6, 15.0, 42.3
0.2, 0.9, 22.0, 55.8
0.4, 0.1, 3.0, 15.2
0.6, 0.7, 25.0, 60.0
0.8, 0.4, 10.0, 30.5
0.15, 0.45, 7.0, 22.8
0.35, 0.65, 14.0, 38.9
0.55, 0.25, 6.0, 18.3
0.75, 0.85, 20.0, 52.1
0.95, 0.15, 4.0, 12.7
0.25, 0.55, 11.0, 33.4
0.45, 0.75, 16.0, 44.6
0.65, 0.35, 9.0, 27.8
0.85, 0.55, 13.0, 36.2
0.12, 0.82, 19.0, 50.3
0.38, 0.18, 2.5, 10.1
0.58, 0.48, 8.5, 28.9
0.78, 0.68, 17.0, 47.5
0.92, 0.28, 5.5, 21.6
0.18, 0.72, 14.5, 40.2
0.42, 0.92, 21.0, 57.8
0.62, 0.12, 3.5, 14.3
0.82, 0.42, 11.5, 34.7
0.05, 0.5, 9.5, 26.4
0.48, 0.05, 1.8, 8.5
0.88, 0.78, 18.5, 49.1
