# station: China 2020 population pyramid
# source: 7th National Population Census (2020), public record; values approximate, in thousands
# columns: age group, male (thousands), female (thousands)
age,male_k,female_k
0-4,40500,36000
5-9,45200,40300
10-14,48300,43000
15-19,43100,38400
20-24,40500,38000
25-29,47900,44600
30-34,57400,53900
35-39,51000,48000
40-44,47200,45000
45-49,52000,50200
50-54,62000,59600
55-59,51400,50000
60-64,34900,34000
65-69,37200,36800
70-74,22400,22400
75-79,13000,13600
80-84,7200,8100
85-89,3200,3900
90-94,1000,1400
95+,200,400
