time,temp,pressure,flow
0,19.34,101.06,14.50
5,20.19,101.73,14.47
10,20.80,101.89,14.19
15,21.57,102.70,14.17
20,21.87,102.86,14.28
25,21.76,102.86,14.28
30,23.02,103.01,14.06
35,23.96,103.04,13.97
40,23.78,103.38,14.24
45,23.78,103.75,13.96
50,24.04,104.01,14.11
55,24.37,103.72,13.87
60,24.87,103.98,13.81
65,26.00,103.80,13.63
70,25.07,103.55,13.37
75,25.75,103.23,13.43
80,26.38,103.33,13.54
85,25.24,103.28,13.26
90,25.44,102.35,13.01
95,26.52,102.53,12.98
100,26.66,101.66,13.04
105,26.41,101.51,12.67
110,25.47,101.05,12.63
115,24.92,101.08,12.62
120,24.78,100.70,12.51
125,25.74,100.45,12.36
130,24.43,99.55,12.40
135,24.77,99.60,12.24
140,24.35,99.16,12.12
145,23.97,98.88,11.77
150,23.49,99.05,11.56
155,22.87,98.50,11.66
160,22.93,98.71,11.40
165,22.82,98.60,11.28
170,21.14,99.11,11.15
175,21.02,99.30,11.18
180,21.34,98.87,11.13
185,20.48,99.37,11.19
190,19.66,99.33,11.08
195,19.97,99.53,10.81
200,18.53,100.18,10.74
205,17.73,100.33,10.70
210,18.09,100.80,10.86
215,16.85,100.72,10.72
220,16.87,101.14,10.84
225,17.14,101.68,10.75
230,16.73,101.78,10.58
235,15.91,102.48,10.82
240,16.05,102.93,10.83
245,14.82,103.28,10.76
250,15.47,103.36,10.55
255,13.90,103.47,10.74
260,15.17,103.96,10.70
265,14.82,103.83,10.73
270,14.39,103.95,10.72
275,13.32,103.54,10.91
280,14.72,103.77,11.15
285,13.37,103.33,10.92
290,14.71,103.74,11.00
295,13.80,103.14,11.33
300,13.96,103.06,11.46
305,13.68,102.70,11.42
310,14.37,102.57,11.60
315,14.54,102.64,11.64
320,14.83,102.39,11.75
325,16.11,101.97,12.02
330,16.11,101.59,12.02
335,16.00,100.78,12.03
340,16.90,100.84,12.25
345,17.58,99.91,12.44
350,17.16,100.11,12.53
355,17.90,99.71,12.46
360,18.19,99.53,12.66
365,18.93,99.33,12.88
370,19.61,99.16,12.94
375,19.53,99.12,12.83
380,20.39,99.21,13.25
385,20.30,98.84,13.16
390,20.63,99.15,13.16
395,21.63,98.72,13.40
400,22.74,98.97,13.48
405,23.22,99.57,13.51
410,23.52,99.63,13.70
415,23.17,99.71,13.72
420,23.86,99.67,13.78
425,24.92,100.43,14.02
430,25.12,100.55,13.86
435,25.12,100.85,13.93
440,24.54,101.06,14.01
445,25.42,101.65,14.26
450,25.28,101.62,14.18
455,25.21,102.55,14.16
460,25.78,102.95,14.37
465,25.87,103.00,14.09
470,26.18,103.05,14.28
475,26.08,103.59,14.26
480,25.33,103.30,14.17
485,25.72,103.76,14.41
490,25.46,103.55,14.07
495,25.17,104.03,14.32
500,24.58,103.59,14.09
505,25.46,104.08,14.14
510,25.33,103.43,14.02
515,25.17,103.39,14.14
520,24.73,103.09,14.08
525,23.07,103.32,13.68
530,23.56,102.64,13.76
535,23.30,102.24,13.62
540,22.43,102.27,13.57
545,22.07,101.87,13.51
550,21.05,101.02,13.22
555,21.71,100.87,13.21
560,20.85,100.87,13.11
565,20.65,100.41,13.02
570,18.82,99.64,13.02
575,18.83,99.66,12.71
580,19.30,99.23,12.60
585,17.35,99.28,12.51
590,17.34,98.82,12.63
595,17.87,98.73,12.21
600,16.15,98.68,12.25
605,16.87,99.02,12.05
610,16.36,99.19,12.19
615,15.68,98.78,11.74
620,15.59,99.22,11.90
625,14.33,99.40,11.57
630,14.97,99.12,11.50
635,14.11,99.72,11.47
640,14.05,99.70,11.39
645,14.60,100.38,11.15
650,13.97,100.80,11.22
655,13.57,101.20,11.07
660,14.53,101.04,10.98
665,13.78,101.74,11.00
670,13.69,101.97,11.09
675,13.57,102.19,11.01
680,14.32,102.47,10.82
685,14.70,102.79,10.64
690,15.20,103.50,10.85
695,14.32,103.45,10.77
700,15.71,103.98,10.64
705,16.05,103.41,10.75
710,16.07,103.79,10.88
715,16.25,103.57,10.75
720,17.38,103.63,10.74
725,17.62,103.30,10.60
730,17.76,103.35,10.93
735,18.39,103.23,10.78
740,18.86,103.42,10.85
745,18.96,102.84,11.10
750,19.77,102.89,11.03
755,20.46,102.37,11.09
760,20.20,101.94,11.05
765,20.83,101.65,11.33
770,22.23,100.93,11.11
775,22.70,101.10,11.58
780,22.72,100.20,11.64
785,23.19,100.22,11.51
790,23.76,99.61,11.78
795,24.45,99.34,11.74
800,23.68,99.12,11.77
805,23.80,99.43,11.99
810,25.54,98.74,12.25
815,25.78,98.92,12.29
820,25.83,98.61,12.47
825,24.94,98.99,12.40
830,25.50,99.02,12.46
835,25.79,99.12,12.69
840,25.28,99.41,12.80
845,25.70,99.61,12.97
850,26.57,99.26,13.03
855,26.68,99.40,13.16
860,26.11,100.30,13.22
865,25.97,100.64,13.44
870,25.18,100.76,13.52
875,25.12,101.23,13.51
880,25.32,101.45,13.65
885,24.87,101.75,13.75
890,24.20,102.20,13.83
895,24.67,102.73,14.09
900,23.24,102.81,13.88
905,23.19,102.61,13.98
910,22.68,103.48,13.97
915,22.41,103.37,14.31
920,22.90,103.76,14.34
925,21.77,103.50,14.09
930,21.78,103.98,14.13
935,20.15,103.97,14.23
940,19.66,103.70,14.38
945,20.42,103.89,14.27
950,19.97,103.87,14.47
955,18.63,103.45,14.18
960,18.12,103.51,14.30
965,17.44,102.58,14.41
970,16.82,102.43,14.07
975,16.95,102.32,14.28
980,16.63,102.14,14.07
985,15.80,101.95,13.90
990,16.04,101.64,14.14
995,15.87,100.66,13.94
1000,15.13,100.39,13.64
1005,15.06,100.12,13.73
1010,15.17,99.97,13.47
1015,14.42,99.35,13.45
1020,14.19,99.47,13.49
1025,13.60,99.54,13.30
1030,13.49,99.08,13.37
1035,14.51,98.78,12.91
1040,14.69,98.97,13.17
1045,14.40,98.97,12.91
1050,13.85,98.90,12.84
1055,14.96,99.10,12.75
1060,15.02,99.03,12.67
1065,14.89,99.32,12.57
1070,15.25,99.09,12.29
1075,14.66,99.95,12.07
1080,15.56,100.01,11.83
1085,15.86,100.44,11.96
1090,16.59,100.78,11.97
1095,15.94,101.14,11.77
1100,17.15,101.06,11.73
1105,17.51,101.46,11.51
1110,18.05,102.05,11.54
1115,18.96,102.19,11.29
1120,18.99,102.66,11.39
1125,20.08,102.64,11.05
1130,19.88,103.45,11.20
1135,20.67,103.17,10.85
1140,21.07,103.82,11.09
1145,20.86,103.47,10.69
1150,22.45,104.04,10.94
1155,21.93,103.47,10.78
1160,22.20,103.54,10.89
1165,22.48,103.75,10.65
1170,23.54,103.71,10.62
1175,24.08,103.76,10.59
1180,24.61,103.41,10.74
1185,24.91,102.96,10.87
1190,25.47,102.94,10.91
1195,25.53,102.63,10.72
