# Group, Value
Group A, 12.5
Group A, 15.3
Group A, 11.8
Group A, 14.2
Group A, 13.1
Group A, 16.7
Group A, 12.9
Group A, 15.8
Group A, 13.5
Group A, 14.8
Group A, 11.2
Group A, 16.3
Group A, 13.9
Group A, 15.1
Group A, 12.7
Group A, 14.5
Group A, 13.3
Group A, 15.6
Group A, 12.1
Group A, 14.9
Group B, 22.5
Group B, 25.3
Group B, 21.8
Group B, 24.2
Group B, 23.1
Group B, 26.7
Group B, 22.9
Group B, 25.8
Group B, 23.5
Group B, 24.8
Group B, 21.2
Group B, 26.3
Group B, 23.9
Group B, 25.1
Group B, 22.7
Group B, 24.5
Group B, 23.3
Group B, 25.6
Group B, 22.1
Group B, 24.9
Group C, 8.5
Group C, 11.3
Group C, 7.8
Group C, 10.2
Group C, 9.1
Group C, 12.7
Group C, 8.9
Group C, 11.8
Group C, 9.5
Group C, 10.8
Group C, 7.2
Group C, 12.3
Group C, 9.9
Group C, 11.1
Group C, 8.7
Group C, 10.5
Group C, 9.3
Group C, 11.6
Group C, 8.1
Group C, 10.9
Group D, 18.5
Group D, 21.3
Group D, 17.8
Group D, 20.2
Group D, 19.1
Group D, 22.7
Group D, 18.9
Group D, 21.8
Group D, 19.5
Group D, 20.8
Group D, 17.2
Group D, 22.3
Group D, 19.9
Group D, 21.1
Group D, 18.7
Group D, 20.5
Group D, 19.3
Group D, 21.6
Group D, 18.1
Group D, 20.9
